瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),钦拌 老荤樊(MJ/m2)
185,绊魂,2019-12-13,9.8,5.4,13.6,,9.93
185,绊魂,2019-12-14,10.3,7.5,12.9,,9.79
185,绊魂,2019-12-15,12.6,7.2,17.8,,10.74
185,绊魂,2019-12-16,14.2,10.7,18.8,1.4,8.89
185,绊魂,2019-12-17,14.4,10.4,18.5,6.6,1.93
185,绊魂,2019-12-18,8.3,7.2,10.6,,7.71
185,绊魂,2019-12-19,7.4,7.1,8.2,,4.76
185,绊魂,2019-12-20,8.2,5.9,10,,5.22
185,绊魂,2019-12-21,8.1,5.5,10.1,,2.9
185,绊魂,2019-12-22,9.7,8.6,11.3,.8,3.82
185,绊魂,2019-12-23,10,7.8,12.2,,6.34
185,绊魂,2019-12-24,9,6.8,13.7,,7.03
185,绊魂,2019-12-25,11.9,8,15.8,,3.69
185,绊魂,2019-12-26,9.4,6,13.3,20.8,1.31
185,绊魂,2019-12-27,6.5,5.2,7.4,,3.15
185,绊魂,2019-12-28,8,5.5,11.6,,9.91
185,绊魂,2019-12-29,12.1,7.4,16.4,26.8,1.69
185,绊魂,2019-12-30,10.9,5.9,14.2,,4.34
185,绊魂,2019-12-31,2.9,1.7,6.3,1,1.77
185,绊魂,2020-01-01,5.2,2.5,6.9,,8.71
185,绊魂,2020-01-02,8,5,9.5,,3.31
185,绊魂,2020-01-03,8.8,6.9,10.5,,5.08
185,绊魂,2020-01-04,8.2,6.4,10.1,,11.33
185,绊魂,2020-01-05,9.3,5.8,13.5,,9.32
185,绊魂,2020-01-06,15,10.2,17.2,.5,1.21
185,绊魂,2020-01-07,16.5,12.6,18.3,13.4,2.1
185,绊魂,2020-01-08,7.8,6.2,12.6,.7,2.33
185,绊魂,2020-01-09,6.8,6.2,7.3,,2.65
185,绊魂,2020-01-10,7.7,5.1,11.3,,11.07
185,绊魂,2020-01-11,7.7,6.2,8.6,0,4.92
185,绊魂,2020-01-12,7.1,6.4,8.2,0,4.87
185,绊魂,2020-01-13,6.5,5.5,7.4,0,5.1
185,绊魂,2020-01-14,4.6,2.9,6.5,.7,4.55
185,绊魂,2020-01-15,5.6,3.8,8.1,0,7.24
185,绊魂,2020-01-16,5.9,4.5,7,,5.41
185,绊魂,2020-01-17,6.5,6,7.8,,9.72
185,绊魂,2020-01-18,6.8,6.1,8.5,,5.69
188,己魂,2010-12-01,13.9,9.7,20.6,,
188,己魂,2010-12-02,12.9,10.1,15.8,9,
188,己魂,2010-12-03,8.3,5.3,14.7,.3,
188,己魂,2010-12-04,8.6,1.3,14.6,,
188,己魂,2010-12-05,12.3,7.8,17.5,,
188,己魂,2010-12-06,9.6,6.1,16,0,
188,己魂,2010-12-07,6,4.5,8.6,,
188,己魂,2010-12-08,6.4,.2,11.5,.1,
188,己魂,2010-12-09,6,2.7,9.1,,
188,己魂,2010-12-10,11,1.5,15.9,,
188,己魂,2010-12-11,7.2,2.4,13.2,,
188,己魂,2010-12-12,9,1.3,12.3,6.5,
188,己魂,2010-12-13,11.8,9.5,13.8,47,
188,己魂,2010-12-14,6.6,2.9,9.6,.2,
188,己魂,2010-12-15,2.3,.8,4.3,.1,
188,己魂,2010-12-16,1.8,.1,3.7,8.1,
188,己魂,2010-12-17,6.5,3,10,,
188,己魂,2010-12-18,7.7,1.9,12.7,,
188,己魂,2010-12-19,13.5,8.9,17.4,2.5,
188,己魂,2010-12-20,10,6.6,14.4,,
188,己魂,2010-12-21,10.6,6.9,16.1,,
188,己魂,2010-12-22,8.4,5.8,12.3,,
188,己魂,2010-12-23,8,3.9,13.5,,
188,己魂,2010-12-24,.8,-.7,4.2,0,
188,己魂,2010-12-25,1,-1,3,2.8,
188,己魂,2010-12-26,1.6,.8,3.7,7.3,
188,己魂,2010-12-27,5.8,1.4,9.5,.1,
188,己魂,2010-12-28,7.8,3,12.1,1,
188,己魂,2010-12-29,5.3,3.6,8.5,,
188,己魂,2010-12-30,2.5,-1.3,8.2,5.3,
188,己魂,2010-12-31,-.3,-1.9,2.2,16.5,
188,己魂,2011-01-01,1.9,.1,3.4,2.1,
188,己魂,2011-01-02,3.1,1.2,5.1,,
188,己魂,2011-01-03,3.5,2.4,5.1,,
188,己魂,2011-01-04,4.2,3.1,5.5,0,
188,己魂,2011-01-05,4.7,3.1,7.4,0,
188,己魂,2011-01-06,2.7,.8,4.5,1.5,
188,己魂,2011-01-07,2.3,1.2,4.3,,
188,己魂,2011-01-08,4.2,1,7.9,,
188,己魂,2011-01-09,2.8,-.6,6.3,.1,
188,己魂,2011-01-10,.6,-.8,3.2,,
188,己魂,2011-01-11,2.1,-.6,5.8,.5,
188,己魂,2011-01-12,2.3,.8,4.1,.2,
188,己魂,2011-01-13,2.3,-1.5,6.1,,
188,己魂,2011-01-14,4.7,.9,7.7,,
188,己魂,2011-01-15,.1,-3.2,4.8,3.3,
188,己魂,2011-01-16,-.6,-2.8,2,.9,
188,己魂,2011-01-17,1.9,-.3,4.9,,
188,己魂,2011-01-18,2.8,1.4,4.7,0,
188,己魂,2011-01-19,3.5,1.8,6,,
188,己魂,2011-01-20,2.5,1,5,,
188,己魂,2011-01-21,2.3,.6,5.2,,
188,己魂,2011-01-22,3.6,.2,7.7,,
188,己魂,2011-01-23,5.2,1.7,9.1,0,
188,己魂,2011-01-24,1.6,.2,4.5,1.6,
188,己魂,2011-01-25,2.4,.9,5.2,0,
188,己魂,2011-01-26,2,.4,5.8,,
188,己魂,2011-01-27,1.4,.3,4.4,,
188,己魂,2011-01-28,1.7,.4,4.1,,
188,己魂,2011-01-29,1.1,-.6,4.5,.4,
188,己魂,2011-01-30,-.7,-1.8,1.1,6.9,
188,己魂,2011-01-31,1.2,-1.6,4.2,1.5,
188,己魂,2011-02-01,4.7,-3.8,10.3,,
188,己魂,2011-02-02,6.6,3.9,10.3,,
188,己魂,2011-02-03,7.2,2.8,12.6,,
188,己魂,2011-02-04,8.2,3.2,13.7,,
188,己魂,2011-02-05,7.5,3.1,12,,
188,己魂,2011-02-06,9.5,2.6,15.9,,
188,己魂,2011-02-07,8.2,3.6,12.5,,
188,己魂,2011-02-08,9.5,4.8,11.9,3.5,
188,己魂,2011-02-09,5.8,4.2,8.6,,
188,己魂,2011-02-10,3.7,2.1,5.9,2.5,
188,己魂,2011-02-11,3.1,1.5,5.9,0,
188,己魂,2011-02-12,.3,-1.5,2.3,3.7,
188,己魂,2011-02-13,1.8,-2,4.9,,
188,己魂,2011-02-14,2.2,1.2,5.1,0,
188,己魂,2011-02-15,2.9,-.1,7.9,,
188,己魂,2011-02-16,7.3,1.4,11.3,44.5,
188,己魂,2011-02-17,6.1,3.2,9.3,3,
188,己魂,2011-02-18,6.1,2.3,9.4,,
188,己魂,2011-02-19,7.6,4.6,12.3,,
188,己魂,2011-02-20,9.1,3.1,13.1,,
188,己魂,2011-02-21,9.6,8.4,11.4,,
188,己魂,2011-02-22,10,8.7,11.1,,
188,己魂,2011-02-23,10.9,8.5,13.5,,
188,己魂,2011-02-24,11.9,9,16.1,,
188,己魂,2011-02-25,9.8,7.4,14.5,,
188,己魂,2011-02-26,12.4,8.1,14.7,1.5,
188,己魂,2011-02-27,15.9,12.7,18.6,81,
188,己魂,2011-02-28,9.4,8.2,14.1,.5,
188,己魂,2011-03-01,5.1,2.8,9.1,3,
188,己魂,2011-03-02,4.1,2.5,7,,
188,己魂,2011-03-03,3.4,1.2,6.2,0,
188,己魂,2011-03-04,4,1.2,7.1,,
188,己魂,2011-03-05,7.1,.9,12.2,,
188,己魂,2011-03-06,7.7,7,8.8,0,
188,己魂,2011-03-07,6.1,4,8.8,,
188,己魂,2011-03-08,6.3,3,10.9,,
188,己魂,2011-03-09,5,0,8.6,,
188,己魂,2011-03-10,5.4,-1.6,10.4,,
188,己魂,2011-03-11,7.6,-.7,13.6,,
188,己魂,2011-03-12,9.7,2.5,15.3,,
188,己魂,2011-03-13,11.8,7.4,16.8,,
188,己魂,2011-03-14,10.5,7,14.9,.5,
188,己魂,2011-03-15,6.2,3.7,8.9,,
188,己魂,2011-03-16,5.4,2.2,9.8,,
188,己魂,2011-03-17,5.9,2.1,9.3,,
188,己魂,2011-03-18,9.8,2.8,13.5,,
188,己魂,2011-03-19,12.9,6.5,16.2,0,
188,己魂,2011-03-20,13.6,9.9,17.1,20,
188,己魂,2011-03-21,9.4,7.4,10.9,13.5,
188,己魂,2011-03-22,5.5,4,8.3,,
188,己魂,2011-03-23,5.8,3.6,8.1,,
188,己魂,2011-03-24,8.7,4.9,12.5,,
188,己魂,2011-03-25,6.3,4.7,9,1,
188,己魂,2011-03-26,5.4,-.3,9.8,,
188,己魂,2011-03-27,8,2.7,12.3,,
188,己魂,2011-03-28,10.2,5.5,14.8,,
188,己魂,2011-03-29,7.4,5.6,11.5,.5,
188,己魂,2011-03-30,9.5,1.4,15.3,,
188,己魂,2011-03-31,11.8,3,18.5,,
188,己魂,2011-04-01,11.1,3.3,17.7,,
188,己魂,2011-04-02,12.8,8.5,17.6,,
188,己魂,2011-04-03,10.1,9.1,13.2,14.5,
188,己魂,2011-04-04,10.6,8.6,12.6,,
188,己魂,2011-04-05,10.5,6.4,14.1,,
188,己魂,2011-04-06,13.7,5.3,18.7,1,
188,己魂,2011-04-07,15.1,13.9,16.4,26.5,
188,己魂,2011-04-08,12.7,9.2,18.1,9,
188,己魂,2011-04-09,12.2,5.5,18.2,,
188,己魂,2011-04-10,12.9,5.6,20.1,,
188,己魂,2011-04-11,11.5,8.1,14.7,,
188,己魂,2011-04-12,11.6,6.1,17.7,,
188,己魂,2011-04-13,10.7,3.4,17.5,,
188,己魂,2011-04-14,13.8,5.5,18.7,.1,
188,己魂,2011-04-15,16.1,14.1,18.5,.5,
188,己魂,2011-04-16,14,12.5,16.2,,
188,己魂,2011-04-17,12.8,10.5,15.9,,
188,己魂,2011-04-18,11.2,7.9,14,.4,
188,己魂,2011-04-19,11.4,8,15.8,,
188,己魂,2011-04-20,12.7,6.1,18.1,,
188,己魂,2011-04-21,15.2,6.6,18.7,,
188,己魂,2011-04-22,14.2,10.4,17.1,10.5,
188,己魂,2011-04-23,12.1,9.1,16.4,,
188,己魂,2011-04-24,11.6,5.5,16.8,.3,
188,己魂,2011-04-25,15,7.4,19.6,,
188,己魂,2011-04-26,18.4,15.7,22.4,,
188,己魂,2011-04-27,15.2,8.8,21.4,,
188,己魂,2011-04-28,12.2,7.9,16.5,,
188,己魂,2011-04-29,14.5,5.1,18.7,,
188,己魂,2011-04-30,18.3,16.1,22.5,30,
188,己魂,2011-05-01,17,12.8,21.3,,
188,己魂,2011-05-02,16.2,12.6,20.8,,
188,己魂,2011-05-03,15.9,13,20.2,.1,
188,己魂,2011-05-04,16,12.7,20.3,,
188,己魂,2011-05-05,16.3,13.3,19.9,,
188,己魂,2011-05-06,17.5,15.9,18.8,5,
188,己魂,2011-05-07,18.3,16.6,21,.1,
188,己魂,2011-05-08,17.5,15.1,19,0,
188,己魂,2011-05-09,20.1,18.5,22.5,4,
188,己魂,2011-05-10,20.6,19.5,23.9,5.5,
188,己魂,2011-05-11,18.7,15.7,21.5,16,
188,己魂,2011-05-12,16.9,14.7,22.3,.5,
188,己魂,2011-05-13,19.4,14.6,24,,
188,己魂,2011-05-14,19.4,10.9,25.9,,
188,己魂,2011-05-15,17.8,9.3,24.6,,
188,己魂,2011-05-16,17.5,12,22.3,,
188,己魂,2011-05-17,16.6,11.7,21.3,,
188,己魂,2011-05-18,19.1,15.6,22.5,,
188,己魂,2011-05-19,20.2,17.8,23,,
188,己魂,2011-05-20,21.1,17.9,25.3,.5,
188,己魂,2011-05-21,21,18,24.7,,
188,己魂,2011-05-22,17.2,15.9,19.9,4.5,
188,己魂,2011-05-23,15,13.6,17,38.5,
188,己魂,2011-05-24,17.4,15.6,19.1,1,
188,己魂,2011-05-25,18,16.8,19.5,3.5,
188,己魂,2011-05-26,17.2,16.3,18,25.5,
188,己魂,2011-05-27,17.1,16.4,17.8,3.5,
188,己魂,2011-05-28,17.7,16.9,19.6,.2,
188,己魂,2011-05-29,19.4,15.3,25.6,,
188,己魂,2011-05-30,18.7,13.9,22,,
188,己魂,2011-05-31,18.6,17.9,20.5,.5,
188,己魂,2011-06-01,19.6,17.2,23.8,,
188,己魂,2011-06-02,18.3,16.6,21.4,,
188,己魂,2011-06-03,19.8,16.9,23.2,,
188,己魂,2011-06-04,19.6,15.9,22.5,,
188,己魂,2011-06-05,20.5,17.4,25.6,,
188,己魂,2011-06-06,19.4,15.3,22.2,.5,
188,己魂,2011-06-07,20.1,17.6,25.2,.5,
188,己魂,2011-06-08,21.4,15.8,25,,
188,己魂,2011-06-09,20.4,18.4,22.4,.3,
188,己魂,2011-06-10,20.4,18.9,23.9,50.5,
188,己魂,2011-06-11,19.4,17.8,21.1,37,
188,己魂,2011-06-12,19.9,18.8,21.6,1,
188,己魂,2011-06-13,19.9,16.8,23.1,,
188,己魂,2011-06-14,19.1,16.5,22.1,,
188,己魂,2011-06-15,19.2,17.5,20.4,10,
188,己魂,2011-06-16,19.4,18.8,20.4,49.5,
188,己魂,2011-06-17,19.7,18.8,21,.1,
188,己魂,2011-06-18,19.7,19,21.4,10,
188,己魂,2011-06-19,19.4,18.7,20.2,7.5,
188,己魂,2011-06-20,20.8,18.1,25.1,1.5,
188,己魂,2011-06-21,20.6,17.7,22.8,49.5,
188,己魂,2011-06-22,22,20,23.4,98.5,
188,己魂,2011-06-23,23.5,22,24.4,.1,
188,己魂,2011-06-24,25.1,23.5,27.9,.5,
188,己魂,2011-06-25,23.5,22,25,34,
188,己魂,2011-06-26,22.2,20.4,23.7,11,
188,己魂,2011-06-27,22.3,19.9,25.9,,
188,己魂,2011-06-28,23.5,21.4,24.8,25.5,
188,己魂,2011-06-29,24.2,22.8,26.8,,
188,己魂,2011-06-30,23.4,22.3,23.9,22,
188,己魂,2011-07-01,25.2,22,30.8,,
188,己魂,2011-07-02,23.7,22.1,25.4,6,
188,己魂,2011-07-03,25,22.9,29.1,,
188,己魂,2011-07-04,24,22.5,26.3,3,
188,己魂,2011-07-05,23.5,21.3,27.4,0,
188,己魂,2011-07-06,23,20.4,24.7,35,
188,己魂,2011-07-07,25.8,24.6,27.8,.2,
188,己魂,2011-07-08,24.6,23.8,25.5,4.5,
188,己魂,2011-07-09,25.1,23.5,28,4.5,
188,己魂,2011-07-10,25.2,23,28,,
188,己魂,2011-07-11,25.6,24,28.9,,
188,己魂,2011-07-12,25.5,23.4,29.2,,
188,己魂,2011-07-13,26.3,24.4,28.6,,
188,己魂,2011-07-14,25.9,23.7,29.6,,
188,己魂,2011-07-15,27.1,25,29.7,,
188,己魂,2011-07-16,27.5,25.3,30.7,,
188,己魂,2011-07-17,26.6,22.9,30.2,,
188,己魂,2011-07-18,26.4,25.2,28.9,,
188,己魂,2011-07-19,29.3,25.2,33.1,,
188,己魂,2011-07-20,28.5,25.8,31.5,,
188,己魂,2011-07-21,25.4,24.7,27.7,,
188,己魂,2011-07-22,24.7,22.1,27.2,,
188,己魂,2011-07-23,25.4,22,29.1,,
188,己魂,2011-07-24,26,22.3,29.6,,
188,己魂,2011-07-25,26.5,21.4,30.5,,
188,己魂,2011-07-26,28.2,26.6,31.1,3,
188,己魂,2011-07-27,27.7,26,31.1,1.5,
188,己魂,2011-07-28,28.2,26.3,30.8,0,
188,己魂,2011-07-29,27.7,25.8,30.8,3,
188,己魂,2011-07-30,27.9,24.4,32,,
188,己魂,2011-07-31,28.4,24.5,32.3,,
188,己魂,2011-08-01,27,25.4,29.1,17,
188,己魂,2011-08-02,27.4,25.1,30.2,13,
188,己魂,2011-08-03,28,25.3,31.1,1.5,
188,己魂,2011-08-04,28.5,25.2,32,,
188,己魂,2011-08-05,28.8,26.6,31.5,0,
188,己魂,2011-08-06,29.1,27.6,31.1,.3,
188,己魂,2011-08-07,26.6,25.2,28.6,119,
188,己魂,2011-08-08,25.4,24.6,28.6,6.5,
188,己魂,2011-08-09,25.3,24.5,26.3,3,
188,己魂,2011-08-10,26.4,25,29,,
188,己魂,2011-08-11,26.4,24.3,29.8,,
188,己魂,2011-08-12,26.1,24.9,28.7,,
188,己魂,2011-08-13,24.4,23.6,25.4,5.5,
188,己魂,2011-08-14,25.1,23.7,27.8,.5,
188,己魂,2011-08-15,26.3,24.2,30.5,,
188,己魂,2011-08-16,25.9,24.4,29.7,.1,
188,己魂,2011-08-17,26.2,23.9,29.2,,
188,己魂,2011-08-18,24.2,22.2,27.4,.1,
188,己魂,2011-08-19,24,20.7,27.1,,
188,己魂,2011-08-20,23.5,22.1,25,9.5,
188,己魂,2011-08-21,22,21.5,24.9,1.5,
188,己魂,2011-08-22,22.5,22.1,23.8,21.5,
188,己魂,2011-08-23,23.2,21.2,24.5,122.5,
188,己魂,2011-08-24,23.9,22.6,26.7,2,
188,己魂,2011-08-25,24.4,23.5,26.3,0,
188,己魂,2011-08-26,24.1,23.4,26.1,3,
188,己魂,2011-08-27,24.8,23.6,26.9,,
188,己魂,2011-08-28,24.9,23.4,27.7,,
188,己魂,2011-08-29,24.9,23.5,27.6,,
188,己魂,2011-08-30,25.2,23.3,28.2,,
188,己魂,2011-08-31,25.5,22.8,29.2,,
188,己魂,2011-09-01,26.4,22.7,30.7,,
188,己魂,2011-09-02,25.5,22.2,29.5,,
188,己魂,2011-09-03,26.2,22.8,30.6,,
188,己魂,2011-09-04,25.2,21,29.3,,
188,己魂,2011-09-05,23.9,20.6,27.9,,
188,己魂,2011-09-06,22.5,19.6,27.3,,
188,己魂,2011-09-07,22,17.6,26.1,,
188,己魂,2011-09-08,23.6,18.9,27.7,,
188,己魂,2011-09-09,24.1,21.4,29.4,0,
188,己魂,2011-09-10,23.2,22.4,24.7,86,
188,己魂,2011-09-11,25.1,23.2,28.4,5.5,
188,己魂,2011-09-12,25.3,23,28.5,,
188,己魂,2011-09-13,25.6,22.5,29.2,,
188,己魂,2011-09-14,26.1,22.2,30.2,,
188,己魂,2011-09-15,25.6,22.9,28.8,,
188,己魂,2011-09-16,25.5,23.3,28.7,,
188,己魂,2011-09-17,26.1,24.2,28.4,0,
188,己魂,2011-09-18,24.3,22,27.7,2,
188,己魂,2011-09-19,21.8,21.3,23.3,.5,
188,己魂,2011-09-20,20.6,19.5,21.6,0,
188,己魂,2011-09-21,19.4,17.6,22.8,,
188,己魂,2011-09-22,19.7,17.1,23.7,,
188,己魂,2011-09-23,20,16.1,25.3,,
188,己魂,2011-09-24,20.9,15.8,26.4,,
188,己魂,2011-09-25,23.4,19,26.3,0,
188,己魂,2011-09-26,22.9,21.6,25.1,,
188,己魂,2011-09-27,23,20.6,25,,
188,己魂,2011-09-28,24.1,22.1,26.9,1,
188,己魂,2011-09-29,24.9,21.4,30.5,9.5,
188,己魂,2011-09-30,19.5,16.7,22.7,.5,
188,己魂,2011-10-01,17.3,15.1,19.3,,
188,己魂,2011-10-02,16.9,15.2,19.1,,
188,己魂,2011-10-03,16.2,13.9,19.6,,
188,己魂,2011-10-04,19.7,15.4,22.6,,
188,己魂,2011-10-05,18.8,15.8,22.7,,
188,己魂,2011-10-06,19.2,15.1,24.8,,
188,己魂,2011-10-07,17.3,11.9,21.8,,
188,己魂,2011-10-08,17.8,13.6,22.7,,
188,己魂,2011-10-09,19.6,15,25,,
188,己魂,2011-10-10,20.9,16.1,25,0,
188,己魂,2011-10-11,19.7,16.5,25.3,0,
188,己魂,2011-10-12,19.2,13.9,24.1,0,
188,己魂,2011-10-13,20.9,17.3,25.6,0,
188,己魂,2011-10-14,18.7,17.2,20.8,53.5,
188,己魂,2011-10-15,19.5,15.6,24.1,,
188,己魂,2011-10-16,18.2,14.1,22.4,,
188,己魂,2011-10-17,16.9,13.1,21.5,,
188,己魂,2011-10-18,15,11.4,18.9,,
188,己魂,2011-10-19,18.8,16.5,20.8,,
188,己魂,2011-10-20,20.3,17.9,21.7,,
188,己魂,2011-10-21,19.5,17.4,21.5,3.5,
188,己魂,2011-10-22,18.5,16,22.1,.5,
188,己魂,2011-10-23,18.5,14.7,22.9,,
188,己魂,2011-10-24,16.9,14.7,19.6,2,
188,己魂,2011-10-25,12.5,10,15.4,,
188,己魂,2011-10-26,11.7,6.7,16,,
188,己魂,2011-10-27,16.9,10.9,20.1,,
188,己魂,2011-10-28,17.3,14.9,21.6,,
188,己魂,2011-10-29,17,14,20.7,.3,
188,己魂,2011-10-30,17.2,15.3,20.4,,
188,己魂,2011-10-31,18.7,15.8,20.7,,
188,己魂,2011-11-01,21.4,19.3,23.6,,
188,己魂,2011-11-02,21.7,18.4,25.7,7,
188,己魂,2011-11-03,21.9,19.3,25.6,58.5,
188,己魂,2011-11-04,22.8,21,25.7,32.5,
188,己魂,2011-11-05,20.7,19.3,24.6,59,
188,己魂,2011-11-06,19.8,18.8,21.2,4.5,
188,己魂,2011-11-07,18.6,17.3,20.9,.5,
188,己魂,2011-11-08,17.9,15.7,20.1,3,
188,己魂,2011-11-09,17.4,16.1,19.1,73,
188,己魂,2011-11-10,18.4,17.3,19.1,2.5,
188,己魂,2011-11-11,16.7,14.1,21.9,8,
188,己魂,2011-11-12,15.3,11.9,18.7,,
188,己魂,2011-11-13,15.1,11,19.7,,
188,己魂,2011-11-14,12.4,9.5,15.8,,
188,己魂,2011-11-15,13.3,9,16.5,,
188,己魂,2011-11-16,15.9,9.7,19.3,,
188,己魂,2011-11-17,18.3,15.4,19.9,28.5,
188,己魂,2011-11-18,20.3,18.4,22.5,144,
188,己魂,2011-11-19,16,11.7,20.6,0,
188,己魂,2011-11-20,9.3,7.9,11.7,,
188,己魂,2011-11-21,8.1,5.8,11.5,,
188,己魂,2011-11-22,10.8,5.1,14.2,.5,
188,己魂,2011-11-23,12,7.9,15.9,5,
188,己魂,2011-11-24,7.6,4.2,10.8,,
188,己魂,2011-11-25,7.4,3.4,11.6,,
188,己魂,2011-11-26,11.8,4.8,16.9,,
188,己魂,2011-11-27,16.2,10.8,20.9,,
188,己魂,2011-11-28,17.8,14.3,22.2,,
188,己魂,2011-11-29,18.4,16.4,21.7,.3,
188,己魂,2011-11-30,17.3,12.6,23.2,5,
188,己魂,2011-12-01,12.2,10.7,14.3,28.5,
188,己魂,2011-12-02,12.2,10.4,14.4,21.5,
188,己魂,2011-12-03,10.6,6.5,14.9,1,
188,己魂,2011-12-04,8.8,3.8,12.8,,
188,己魂,2011-12-05,8.5,4.4,11,,
188,己魂,2011-12-06,11.1,9.2,14.8,,
188,己魂,2011-12-07,9.2,8.3,10.2,2,
188,己魂,2011-12-08,7.5,3.6,11.2,4,
188,己魂,2011-12-09,4,2.3,5,2.5,
188,己魂,2011-12-10,4.9,3.2,7.5,3.5,
188,己魂,2011-12-11,7.2,5.5,10.5,,
188,己魂,2011-12-12,8.1,5.1,12.3,,
188,己魂,2011-12-13,8.5,3.4,14,,
188,己魂,2011-12-14,9.4,3.5,13.9,,
188,己魂,2011-12-15,6.1,3.5,10.8,,
188,己魂,2011-12-16,2.5,1.1,3.8,3,
188,己魂,2011-12-17,3.9,1.7,6.4,.1,
188,己魂,2011-12-18,5.8,1.6,9.7,,
188,己魂,2011-12-19,4.6,.4,8.2,,
188,己魂,2011-12-20,6.1,-.1,9.1,,
188,己魂,2011-12-21,8.5,5,12.5,,
188,己魂,2011-12-22,4.2,1.4,7.8,0,
188,己魂,2011-12-23,2.2,.5,4.8,,
188,己魂,2011-12-24,1.5,-2.8,6.9,4.5,
188,己魂,2011-12-25,2.2,-1.2,5.2,2.4,
188,己魂,2011-12-26,2.6,1,5,0,
188,己魂,2011-12-27,2.3,-.9,6.5,,
188,己魂,2011-12-28,6.4,1.6,11.2,,
188,己魂,2011-12-29,5.8,2,9.9,,
188,己魂,2011-12-30,3.9,1.5,6.8,,
188,己魂,2011-12-31,5.8,2.1,8.4,,
188,己魂,2012-01-01,5.9,3.1,9.3,0,
188,己魂,2012-01-02,4.4,1.5,6.8,,
188,己魂,2012-01-03,4.7,1.5,9.4,1.5,
188,己魂,2012-01-04,1.8,-.1,4.3,4,
188,己魂,2012-01-05,3.4,1.6,5.3,.1,
188,己魂,2012-01-06,4,.6,7.4,,
188,己魂,2012-01-07,3.2,1.1,6.7,,
188,己魂,2012-01-08,5,1.8,8.1,,
188,己魂,2012-01-09,5.3,3.3,8,,
188,己魂,2012-01-10,6,3.8,8.1,,
188,己魂,2012-01-11,3,-.5,6,0,
188,己魂,2012-01-12,3.1,-.5,7,,
188,己魂,2012-01-13,5.8,.9,10.3,,
188,己魂,2012-01-14,5.5,2.6,8.7,,
188,己魂,2012-01-15,5.9,4.8,7.1,,
188,己魂,2012-01-16,7.7,5.4,10.5,0,
188,己魂,2012-01-17,8.5,5.2,12.3,0,
188,己魂,2012-01-18,9.2,6.5,11.9,.1,
188,己魂,2012-01-19,9.8,8.8,12.3,1,
188,己魂,2012-01-20,11.1,8.7,13,1,
188,己魂,2012-01-21,9,6.2,11.3,.4,
188,己魂,2012-01-22,2.4,.2,6.2,,
188,己魂,2012-01-23,.1,-.9,1.9,0,
188,己魂,2012-01-24,1.3,-1,4,2,
188,己魂,2012-01-25,.4,-1.2,2.2,3.8,
188,己魂,2012-01-26,2,-.5,7,,
188,己魂,2012-01-27,5.8,-.6,11,,
188,己魂,2012-01-28,7.5,5.1,8.9,,
188,己魂,2012-01-29,5.8,.6,9.2,,
188,己魂,2012-01-30,3.3,.6,6,,
188,己魂,2012-01-31,5.1,-1.2,10.8,,
188,己魂,2012-02-01,2.4,-1.3,8.8,0,
188,己魂,2012-02-02,-2,-3.6,-.3,2.1,
188,己魂,2012-02-03,.8,-2.2,4.7,.1,
188,己魂,2012-02-04,3.7,-.9,9.3,,
188,己魂,2012-02-05,6.8,0,9.8,.5,
188,己魂,2012-02-06,9.9,7.4,11.7,17.5,
188,己魂,2012-02-07,1.7,-2,7.4,.3,
188,己魂,2012-02-08,-.1,-2.3,2.6,5,
188,己魂,2012-02-09,2.7,.9,5.4,0,
188,己魂,2012-02-10,3.2,1.2,5.7,,
188,己魂,2012-02-11,2.7,.2,6.2,,
188,己魂,2012-02-12,6.3,-.4,11.5,.5,
188,己魂,2012-02-13,9.7,6.4,11.5,5.5,
188,己魂,2012-02-14,9.9,6.4,13.2,26,
188,己魂,2012-02-15,6.1,3.8,9.7,.5,
188,己魂,2012-02-16,4.4,3.1,6.6,,
188,己魂,2012-02-17,1.8,-.8,4.2,.6,
188,己魂,2012-02-18,-.4,-2.1,2.2,3.3,
188,己魂,2012-02-19,1.5,-1.6,4.5,0,
188,己魂,2012-02-20,4,-.2,8.3,,
188,己魂,2012-02-21,6.4,3.7,8.9,12.5,
188,己魂,2012-02-22,11.6,8.9,12.5,4,
188,己魂,2012-02-23,8.6,5.1,11.9,7.5,
188,己魂,2012-02-24,10.6,6.2,12.4,.5,
188,己魂,2012-02-25,4.9,2.4,7.9,.5,
188,己魂,2012-02-26,3.3,.3,6.9,,
188,己魂,2012-02-27,3.7,.3,7.5,,
188,己魂,2012-02-28,7.8,2.3,10.5,18,
188,己魂,2012-02-29,10.4,8.2,11.9,,
188,己魂,2012-03-01,11.6,10.1,13.3,.5,
188,己魂,2012-03-02,9.8,8.7,11.2,13.5,
188,己魂,2012-03-03,11.3,9.6,12.8,.5,
188,己魂,2012-03-04,11.2,10.7,12.3,22,
188,己魂,2012-03-05,11.6,9.5,14.1,24,
188,己魂,2012-03-06,8.6,6.2,11.6,.1,
188,己魂,2012-03-07,7,5.3,9.6,,
188,己魂,2012-03-08,8.5,6.6,11.8,,
188,己魂,2012-03-09,7.5,4.7,10.9,,
188,己魂,2012-03-10,6.8,4.4,10.8,,
188,己魂,2012-03-11,3.9,1,7.4,,
